label,p1,raw_cts,raw_curr,p2,p3,p4,p5,p6,p7
AC180965,15,648,19.64159646,19.501893,0.271039015,1.060967481,1.381418441,0.459344174,TRUE
AC181003,1,632,20.57884394,19.501598,0.252311045,1.067535804,1.729487942,0.45465878,TRUE
AC181003,2,703,21.49790227,19.500204,0.268676971,1.063637026,1.569455236,0.457422453,TRUE
AC181003,3,668,21.68425567,19.510674,0.252970587,1.063446155,1.518171898,0.457735609,TRUE
AC181003,4,739,21.63604922,19.5008069,0.28062364,1.063487081,1.491809502,0.457872157,TRUE
AC181003,5,659,21.54137199,19.500589,0.251347565,1.063350233,1.471903854,0.458106539,TRUE
AC181003,6,712,21.46830524,19.50086,0.272482632,1.063634227,1.459519656,0.458087723,TRUE
AC181003,7,681,21.51846466,19.5113999,0.259870964,1.063532456,1.454577695,0.458009014,TRUE
AC181003,8,681,21.13831468,19.500488,0.264692497,1.061496942,1.42846648,0.457534019,TRUE
AC181003,9,680,21.46802615,19.491468,0.260365001,1.063436408,1.451189532,0.458105832,TRUE
AC181003,10,681,21.39209497,19.500542,0.261551653,1.063154805,1.444754343,0.458285402,TRUE
AC181003,11,687,21.1914302,19.501109,0.26634682,1.063124237,1.435799633,0.458512093,TRUE
AC181003,12,649,21.1340387,19.501448,0.252293288,1.063238747,1.431472196,0.458351346,TRUE
AC181003,13,675,21.13352544,19.500271,0.26242278,1.063164039,1.434677311,0.458393998,TRUE
AC181003,14,691,21.09102824,19.5012009,0.269171637,1.063054875,1.434921055,0.458543799,TRUE
AC181003,15,707,21.07536835,19.4997079,0.275630004,1.06309441,1.435119127,0.45832855,TRUE
AC181041,1,628,20.54932829,19.5007069,0.251085721,1.067326471,1.618392119,0.455586902,TRUE
AC181041,2,698,21.44610679,19.499416,0.267421125,1.063372441,1.52171777,0.458350373,TRUE
AC181041,3,733,21.61565101,19.49108,0.27874694,1.063196682,1.487912395,0.458740684,TRUE
AC181041,4,713,21.60687759,19.491633,0.271243694,1.063080451,1.470421289,0.458763365,TRUE
AC181041,5,674,21.55440633,19.501135,0.256906031,1.062912843,1.461083408,0.458849982,TRUE
AC181041,6,690,21.42141595,19.501203,0.264636577,1.062893861,1.449781528,0.459160199,TRUE
AC181041,7,677,21.22399697,19.510672,0.261938673,1.062899773,1.437180482,0.45935013,TRUE
AC181041,8,688,21.02767317,19.501272,0.268809515,1.062959304,1.429628947,0.459680238,TRUE
AC181041,9,652,20.81987448,19.5115659,0.257150706,1.062845052,1.424793121,0.459828384,TRUE
AC181041,10,696,20.61817413,19.500536,0.277346599,1.062737292,1.417196574,0.459993909,TRUE
AC181041,11,656,20.45722962,19.510144,0.263333979,1.062913984,1.414231698,0.460295374,TRUE
AC181041,12,650,20.32819467,19.501601,0.262696712,1.06269542,1.411436863,0.460609697,TRUE
AC181041,13,632,20.18506189,19.501173,0.257238883,1.062745077,1.405155694,0.460819515,TRUE
AC181041,14,637,20.03532898,19.510757,0.261083359,1.062548398,1.396278774,0.461131611,TRUE
AC181041,15,600,19.90396889,19.502255,0.247649293,1.062491554,1.391493947,0.461298981,TRUE
AC181079,1,596,19.61301842,19.502011,0.249650698,1.067001147,1.516385826,0.459027617,TRUE
AC181079,2,612,20.30129725,19.502657,0.24765335,1.062749816,1.436674213,0.462211,TRUE
AC181079,3,623,20.27915608,19.499409,0.252421927,1.062520308,1.39825304,0.462809647,TRUE
AC181079,4,588,20.1036376,19.50181,0.240291338,1.062096764,1.374891651,0.46324368,TRUE
AC181079,5,634,19.79750279,19.492119,0.263226827,1.061826461,1.349730402,0.463841775,TRUE
AC181079,6,634,19.41711028,19.501427,0.268255495,1.061792661,1.320312656,0.464376584,TRUE
AC181079,7,591,19.11081341,19.5016469,0.254066484,1.061714421,1.296412448,0.464729927,TRUE
AC181079,8,595,18.9028579,19.502093,0.258594111,1.061529307,1.281086699,0.46511205,TRUE
AC181079,9,624,18.73782136,19.50053,0.273608407,1.061545305,1.268334394,0.465325732,TRUE
AC181079,10,565,18.63603493,19.502499,0.249066332,1.061247856,1.263667108,0.465459015,TRUE
AC181079,11,602,18.55698778,19.510894,0.266392625,1.060987783,1.263650657,0.465728634,TRUE
AC181079,12,580,18.42683235,19.501364,0.258596521,1.060897712,1.257741854,0.465789254,TRUE
AC181079,13,597,18.35327892,19.501873,0.267235838,1.060888715,1.252837351,0.46589273,TRUE
AC181079,14,550,18.31816031,19.501975,0.246667877,1.060618832,1.257548199,0.466044675,TRUE
